batch,analysis,age_at_sleep,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear,duration_direct_estimate,duration_direct_minus_derived,midpoint_direct_estimate,midpoint_direct_minus_derived
base,derived_duration_midpoint_age,66,Weekday,NA,-0.8588762753061007,6.80969769190433,7.668573967210431,2.975410708299115,7.637692446825784,-0.03088152038464731,3.0894850245367675,0.11407431623765164
base,derived_duration_midpoint_age,66,Weekend,NA,-0.5264083224070771,7.54865937915462,8.075067701561698,3.511125528373772,8.059676919306874,-0.01539078225482448,3.6355431546925514,0.12441762631877928
base,derived_duration_midpoint_age,67,Weekday,NA,-0.8443223194177722,6.857329692301626,7.701652011719398,3.006503686441927,7.662320082675958,-0.03933192904344018,3.114786541051445,0.10828285460951824
base,derived_duration_midpoint_age,67,Weekend,NA,-0.5205066326758534,7.578281006792033,8.098787639467886,3.52888718705809,8.074827821315937,-0.02395981815194936,3.647409227207119,0.11852204014902944
base,derived_duration_midpoint_age,68,Weekday,NA,-0.8283485114640371,6.9071945502319005,7.735543061695938,3.039423019383932,7.687700864342056,-0.047842197353881843,3.1418115417021295,0.10238852231819706
base,derived_duration_midpoint_age,68,Weekend,NA,-0.5133029840194788,7.609549859543167,8.122852843562645,3.548123437761844,8.090274801374576,-0.03257804218806903,3.6606501073435944,0.11252666958175084
base,derived_duration_midpoint_age,69,Weekday,NA,-0.8109548514448954,6.9592922656951535,7.770247117140049,3.07416870712513,7.713834791824078,-0.0564123253159714,3.170560026488821,0.0963913193636916
base,derived_duration_midpoint_age,69,Weekend,NA,-0.5047973764379534,7.64246593740802,8.147263313845974,3.5688342804850333,8.106017859482794,-0.04124545436317994,3.675265795101976,0.10643151461694345
base,derived_duration_midpoint_age,70,Weekday,NA,-0.792141339360347,7.0136228386913855,7.805764178051732,3.1107407496655193,7.740721865122023,-0.06504231292970974,3.20103199541152,0.090291245746000115
base,derived_duration_midpoint_age,70,Weekend,NA,-0.4949898099312772,7.677029240386593,8.172019050317871,3.5910197152276586,8.122056995640587,-0.04996205467728387,3.6912562904822654,0.10023657525460727
base,derived_duration_midpoint_age,71,Weekday,NA,-0.7719079752103919,7.070186269220596,7.842094244430988,3.1491391470051022,7.768362084235891,-0.07373216019509687,3.2332274484702253,0.08408830146512258
base,derived_duration_midpoint_age,71,Weekend,NA,-0.4838802844994499,7.713239768478887,8.197120052978338,3.614679741989719,8.138392209847957,-0.05872784313038082,3.708621593484462,0.09394185149474232
base,derived_duration_midpoint_age,72,Weekday,NA,-0.7502547589950301,7.128982557282785,7.879237316277815,3.1893638991438777,7.796755449165683,-0.08248186711213279,3.2671463856649376,0.07778248652105901
base,derived_duration_midpoint_age,72,Weekend,NA,-0.47146880014247183,7.751097521684901,8.222566321827372,3.639814360771214,8.155023502104905,-0.06754281972246723,3.727361704108565,0.08754734333735037
base,derived_duration_midpoint_age,73,Weekday,NA,-0.7271816907142616,7.190011702877953,7.917193393592215,3.231415006081846,7.825901959911397,-0.09129143368081748,3.302788806995657,0.07137380091381118
base,derived_duration_midpoint_age,73,Weekend,NA,-0.4577553568603428,7.790602500004633,8.248357856864976,3.666423571572145,8.17195087241143,-0.07640698445354666,3.747476622354576,0.08105305078242964
base,derived_duration_midpoint_age,74,Weekday,NA,-0.7026887703680865,7.2532737060061,7.955962476374187,3.275292467819007,7.855801616473037,-0.10016085990115008,3.340154712462384,0.06486224464337731
base,derived_duration_midpoint_age,74,Weekend,NA,-0.442739954653063,7.831754703438087,8.27449465809115,3.694507374392512,8.189174320767531,-0.0853203373236191,3.7689663482224938,0.0744589738299819
base,derived_duration_midpoint_age,75,Weekday,NA,-0.6767759979565048,7.3187685666672255,7.995544564623731,3.3209962843553607,7.886454418850598,-0.10909014577313236,3.379244102065117,0.05824781770975562
base,derived_duration_midpoint_age,75,Weekend,NA,-0.42642259352063216,7.874554131985262,8.300976725505894,3.7240657692323142,8.206693847173211,-0.09428287833268278,3.791830881712318,0.06776511248000361
base,derived_duration_midpoint_age,76,Weekday,NA,-0.6494433734795163,7.38649628486133,8.035939658340846,3.3685264556909065,7.917860367044084,-0.11807929129676165,3.4200569758038584,0.05153052011295145
base,derived_duration_midpoint_age,76,Weekend,NA,-0.4088032734630505,7.919000785646157,8.327804059109207,3.7550987560915527,8.224509451628466,-0.10329460748074126,3.8160702228240506,0.06097146673249831
base,derived_duration_midpoint_age,77,Weekday,NA,-0.6206908969371212,7.456456860588413,8.077147757525534,3.4178829818256458,7.950019461053494,-0.12712829647203971,3.4625933336786057,0.04471035185295946
base,derived_duration_midpoint_age,77,Weekend,NA,-0.389881994480318,7.965094664420772,8.35497665890109,3.7876063349702274,8.2426211341333,-0.11235552476779098,3.841684371557689,0.05407803658746246
base,derived_duration_midpoint_age,78,Weekday,NA,-0.5905185683293195,7.528650293848474,8.119168862177794,3.4690658627595776,7.982931700878827,-0.13623716129896746,3.5068531756893604,0.03778731292978321
base,derived_duration_midpoint_age,78,Weekend,NA,-0.3696587565724347,8.012835768309106,8.38249452488154,3.821588505868335,8.261028894687712,-0.1214656301938284,3.868673327913235,0.04708482204489961
base,derived_duration_midpoint_age,79,Weekday,NA,-0.5589263876561109,7.603076584641515,8.162002972297627,3.5220750984927025,8.016597086520083,-0.14540588577754399,3.552836501836122,0.03076140334341914
base,derived_duration_midpoint_age,79,Weekend,NA,-0.3481335597394003,8.06222409731116,8.410357657050561,3.85704526878588,8.279732733291699,-0.13062492375886237,3.897037091890689,0.03999182310480975
