outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,day_type,employment_clean
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,9.540954921353569,9.42364975471787,9.658260087989268,Weekend,Student
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,7.292928376569148,7.062969985517258,7.5228867676210385,Weekday,Unable To Work
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,7.435511149671339,7.205278591762414,7.665743707580265,Weekend,Unable To Work
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,1.319855560926538,1.2690292467151496,1.3706818751379262,Weekday,Employed For Wages
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,1.9627113471728277,1.910927412658071,2.014495281687584,Weekend,Employed For Wages
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,-0.588831288174154,-0.8297835642236671,-0.3478790121246409,Weekday,Homemaker
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,-0.12381991463717376,-0.3650240323218117,0.11738420304746416,Weekend,Homemaker
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,2.7579248511753476,2.4668819217814293,3.048967780569266,Weekday,Out Of Work Less Than One
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,3.3118933126889742,3.0205707599177805,3.603215865460168,Weekend,Out Of Work Less Than One
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,-2.707445298282472,-3.0482140520953984,-2.3666765444695455,Weekday,Out Of Work One Or More
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,-2.2513508235166206,-2.592340508154945,-1.9103611388782964,Weekend,Out Of Work One Or More
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,-3.2900924467437536,-3.5343850209799945,-3.0457998725075126,Weekday,Retired
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,-2.811083739758825,-3.0555561575457237,-2.566611321971926,Weekend,Retired
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,0.7548926597016102,0.5935949115616751,0.9161904078415454,Weekday,Self Employed
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,1.2664132928052454,1.1047775504377624,1.4280490351727284,Weekend,Self Employed
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,1.7467469254636523,1.6344555483352563,1.8590383025920485,Weekday,Student
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,2.2827203918637387,2.1700534676743306,2.3953873160531467,Weekend,Student
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,-1.1954730251347874,-1.4150046236308584,-0.9759414266387164,Weekday,Unable To Work
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,-0.7685575979533545,-0.9883433158901856,-0.5487718800165234,Weekend,Unable To Work
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,1.3322615094506614,1.2813645134251763,1.3831585054761464,Weekday,Employed For Wages
